Title: test opamp tran
Date: Mon May  5 16:25:41  2025
Command: ngspice-44.2, Build 
Plotname: Transient Analysis
Flags: real
No. Variables: 3
No. Points: 474
Variables:
	0	time	time
	1	v(vout3)	voltage
	2	v(visr)	voltage
Values:
 0	0.000000000000000e+00
	2.999342254990263e-01
	3.000000000000000e-01

 1	1.000000000000000e-08
	2.999342254260477e-01
	3.000000000000000e-01

 2	2.000000000000000e-08
	2.999342253979764e-01
	3.000000000000000e-01

 3	4.000000000000000e-08
	2.999342253766834e-01
	3.000000000000000e-01

 4	8.000000000000000e-08
	2.999342253986859e-01
	3.000000000000000e-01

 5	1.600000000000000e-07
	2.999342257112576e-01
	3.000000000000000e-01

 6	3.200000000000000e-07
	2.999342255996680e-01
	3.000000000000000e-01

 7	6.400000000000000e-07
	2.999342251320918e-01
	3.000000000000000e-01

 8	1.000000000000000e-06
	2.999342257469018e-01
	3.000000000000000e-01

 9	1.000000100000000e-06
	3.005048285390560e-01
	3.199999999878466e-01

 10	1.000000300000000e-06
	3.015405169418887e-01
	3.600000000058914e-01

 11	1.000000700000000e-06
	3.035279324440849e-01
	4.399999999996294e-01

 12	1.000001000000000e-06
	3.049851413719970e-01
	5.000000000000000e-01

 13	1.000001080000000e-06
	3.049457862121248e-01
	5.000000000000000e-01

 14	1.000001240000000e-06
	3.049483527885737e-01
	5.000000000000000e-01

 15	1.000001560000000e-06
	3.049756652493687e-01
	5.000000000000000e-01

 16	1.000002200000000e-06
	3.049726610721811e-01
	5.000000000000000e-01

 17	1.000003480000000e-06
	3.049758830481141e-01
	5.000000000000000e-01

 18	1.000006040000000e-06
	3.049633346468703e-01
	5.000000000000000e-01

 19	1.000011160000000e-06
	3.049646949921372e-01
	5.000000000000000e-01

 20	1.000021400000001e-06
	3.049421126435618e-01
	5.000000000000000e-01

 21	1.000041880000001e-06
	3.049222348759726e-01
	5.000000000000000e-01

 22	1.000082840000002e-06
	3.048581384256334e-01
	5.000000000000000e-01

 23	1.000164760000004e-06
	3.047574151073594e-01
	5.000000000000000e-01

 24	1.000328600000009e-06
	3.045408340099262e-01
	5.000000000000000e-01

 25	1.000656280000018e-06
	3.041685387979861e-01
	5.000000000000000e-01

 26	1.001311640000036e-06
	3.035216253540861e-01
	5.000000000000000e-01

 27	1.002622360000072e-06
	3.026143716406532e-01
	5.000000000000000e-01

 28	1.005243800000145e-06
	3.015922613536418e-01
	5.000000000000000e-01

 29	1.010486680000290e-06
	3.006784713050997e-01
	5.000000000000000e-01

 30	1.020972440000579e-06
	2.993792368582620e-01
	5.000000000000000e-01

 31	1.041943960001158e-06
	2.984786794034998e-01
	5.000000000000000e-01

 32	1.083887000002316e-06
	3.047099668561792e-01
	5.000000000000000e-01

 33	1.161281253438496e-06
	3.236353340450898e-01
	5.000000000000000e-01

 34	1.269529595165515e-06
	3.466530943402327e-01
	5.000000000000000e-01

 35	1.486026278619553e-06
	3.958042123492328e-01
	5.000000000000000e-01

 36	1.919019645527629e-06
	4.804098688060788e-01
	5.000000000000000e-01

 37	2.027267987254648e-06
	4.950750919302488e-01
	5.000000000000000e-01

 38	2.243764670708686e-06
	5.180728559102526e-01
	5.000000000000000e-01

 39	2.504182147640149e-06
	5.226562202874693e-01
	5.000000000000000e-01

 40	2.745440217147298e-06
	5.103772595497987e-01
	5.000000000000000e-01

 41	3.056810692174274e-06
	5.006265223350116e-01
	5.000000000000000e-01

 42	3.378889727712104e-06
	4.969939309847238e-01
	5.000000000000000e-01

 43	3.994751838361750e-06
	4.989134512027219e-01
	5.000000000000000e-01

 44	4.727348518742780e-06
	5.008470645112082e-01
	5.000000000000000e-01

 45	5.727348518742780e-06
	4.996307599224240e-01
	5.000000000000000e-01

 46	6.727348518742779e-06
	4.999318722293403e-01
	5.000000000000000e-01

 47	7.727348518742780e-06
	4.999557183492704e-01
	5.000000000000000e-01

 48	8.727348518742780e-06
	4.999856944625178e-01
	5.000000000000000e-01

 49	9.727348518742781e-06
	4.998167724741288e-01
	5.000000000000000e-01

 50	1.072734851874278e-05
	5.000757116596921e-01
	5.000000000000000e-01

 51	1.172734851874278e-05
	4.997906759101478e-01
	5.000000000000000e-01

 52	1.272734851874278e-05
	5.000605154906519e-01
	5.000000000000000e-01

 53	1.372734851874278e-05
	4.998058608864434e-01
	5.000000000000000e-01

 54	1.472734851874278e-05
	5.000557734158497e-01
	5.000000000000000e-01

 55	1.572734851874278e-05
	4.998038886617066e-01
	5.000000000000000e-01

 56	1.672734851874278e-05
	5.000593020216302e-01
	5.000000000000000e-01

 57	1.772734851874278e-05
	4.998026881636434e-01
	5.000000000000000e-01

 58	1.872734851874278e-05
	5.000591150119800e-01
	5.000000000000000e-01

 59	1.972734851874279e-05
	4.998043381216323e-01
	5.000000000000000e-01

 60	2.072734851874279e-05
	5.000572885946483e-01
	5.000000000000000e-01

 61	2.172734851874279e-05
	4.998067022315749e-01
	5.000000000000000e-01

 62	2.272734851874279e-05
	5.000549035072626e-01
	5.000000000000000e-01

 63	2.372734851874279e-05
	4.998095692896780e-01
	5.000000000000000e-01

 64	2.472734851874279e-05
	5.000519432743081e-01
	5.000000000000000e-01

 65	2.572734851874279e-05
	4.998129207867690e-01
	5.000000000000000e-01

 66	2.672734851874279e-05
	5.000485394953214e-01
	5.000000000000000e-01

 67	2.772734851874279e-05
	4.998166021582095e-01
	5.000000000000000e-01

 68	2.872734851874279e-05
	5.000448476586696e-01
	5.000000000000000e-01

 69	2.972734851874279e-05
	4.998204948278762e-01
	5.000000000000000e-01

 70	3.072734851874279e-05
	5.000409715924823e-01
	5.000000000000000e-01

 71	3.172734851874279e-05
	4.998245175773433e-01
	5.000000000000000e-01

 72	3.272734851874278e-05
	5.000369883681780e-01
	5.000000000000000e-01

 73	3.372734851874278e-05
	4.998286044648789e-01
	5.000000000000000e-01

 74	3.472734851874278e-05
	5.000329589135368e-01
	5.000000000000000e-01

 75	3.572734851874277e-05
	4.998327050171191e-01
	5.000000000000000e-01

 76	3.672734851874277e-05
	5.000289321716354e-01
	5.000000000000000e-01

 77	3.772734851874277e-05
	4.998367763749337e-01
	5.000000000000000e-01

 78	3.872734851874277e-05
	5.000249460384556e-01
	5.000000000000000e-01

 79	3.972734851874276e-05
	4.998407884646675e-01
	5.000000000000000e-01

 80	4.072734851874276e-05
	5.000210266283946e-01
	5.000000000000000e-01

 81	4.172734851874276e-05
	4.998447189942291e-01
	5.000000000000000e-01

 82	4.272734851874275e-05
	5.000171952071700e-01
	5.000000000000000e-01

 83	4.372734851874275e-05
	4.998485492397675e-01
	5.000000000000000e-01

 84	4.472734851874275e-05
	5.000134679103870e-01
	5.000000000000000e-01

 85	4.572734851874275e-05
	4.998522669096472e-01
	5.000000000000000e-01

 86	4.672734851874274e-05
	5.000098543113795e-01
	5.000000000000000e-01

 87	4.772734851874274e-05
	4.998558647139373e-01
	5.000000000000000e-01

 88	4.872734851874274e-05
	5.000063619696612e-01
	5.000000000000000e-01

 89	4.972734851874274e-05
	4.998593344980163e-01
	5.000000000000000e-01

 90	5.072734851874273e-05
	5.000029973909478e-01
	5.000000000000000e-01

 91	5.172734851874273e-05
	4.998626735667338e-01
	5.000000000000000e-01

 92	5.272734851874273e-05
	4.999997614976344e-01
	5.000000000000000e-01

 93	5.372734851874272e-05
	4.998658812150901e-01
	5.000000000000000e-01

 94	5.472734851874272e-05
	4.999966546425727e-01
	5.000000000000000e-01

 95	5.572734851874272e-05
	4.998689582733848e-01
	5.000000000000000e-01

 96	5.672734851874272e-05
	4.999936759534581e-01
	5.000000000000000e-01

 97	5.772734851874271e-05
	4.998719052151404e-01
	5.000000000000000e-01

 98	5.872734851874271e-05
	4.999908245934253e-01
	5.000000000000000e-01

 99	5.972734851874271e-05
	4.998747241171799e-01
	5.000000000000000e-01

 100	6.072734851874270e-05
	4.999880975300879e-01
	5.000000000000000e-01

 101	6.172734851874270e-05
	4.998774188682955e-01
	5.000000000000000e-01

 102	6.272734851874270e-05
	4.999854906660070e-01
	5.000000000000000e-01

 103	6.372734851874270e-05
	4.998799932652351e-01
	5.000000000000000e-01

 104	6.472734851874269e-05
	4.999830019156459e-01
	5.000000000000000e-01

 105	6.572734851874269e-05
	4.998824487990241e-01
	5.000000000000000e-01

 106	6.672734851874269e-05
	4.999806271648486e-01
	5.000000000000000e-01

 107	6.772734851874268e-05
	4.998847926577197e-01
	5.000000000000000e-01

 108	6.872734851874268e-05
	4.999783605722358e-01
	5.000000000000000e-01

 109	6.972734851874268e-05
	4.998870274329654e-01
	5.000000000000000e-01

 110	7.072734851874268e-05
	4.999761999038683e-01
	5.000000000000000e-01

 111	7.172734851874267e-05
	4.998891575133481e-01
	5.000000000000000e-01

 112	7.272734851874267e-05
	4.999741399581129e-01
	5.000000000000000e-01

 113	7.372734851874267e-05
	4.998911875489198e-01
	5.000000000000000e-01

 114	7.472734851874267e-05
	4.999721770280645e-01
	5.000000000000000e-01

 115	7.572734851874266e-05
	4.998931213949368e-01
	5.000000000000000e-01

 116	7.672734851874266e-05
	4.999703068839095e-01
	5.000000000000000e-01

 117	7.772734851874266e-05
	4.998949633821471e-01
	5.000000000000000e-01

 118	7.872734851874265e-05
	4.999685246867559e-01
	5.000000000000000e-01

 119	7.972734851874265e-05
	4.998967184331060e-01
	5.000000000000000e-01

 120	8.072734851874265e-05
	4.999668274059352e-01
	5.000000000000000e-01

 121	8.172734851874265e-05
	4.998983895129943e-01
	5.000000000000000e-01

 122	8.272734851874264e-05
	4.999652099809050e-01
	5.000000000000000e-01

 123	8.372734851874264e-05
	4.998999818336509e-01
	5.000000000000000e-01

 124	8.472734851874264e-05
	4.999636691614200e-01
	5.000000000000000e-01

 125	8.572734851874263e-05
